personal_status_sex,age_group
2,26_and_over
4,under_26
3,26_and_over
2,under_26
3,26_and_over
4,under_26
3,26_and_over
3,26_and_over
3,26_and_over
2,under_26
3,under_26
2,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
1,26_and_over
2,26_and_over
3,26_and_over
3,26_and_over
2,under_26
4,26_and_over
3,under_26
4,26_and_over
1,26_and_over
2,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
4,26_and_over
1,26_and_over
3,26_and_over
4,26_and_over
4,26_and_over
3,26_and_over
3,26_and_over
2,under_26
3,26_and_over
1,26_and_over
2,26_and_over
3,26_and_over
3,26_and_over
2,under_26
2,under_26
3,26_and_over
2,26_and_over
3,26_and_over
2,under_26
2,under_26
2,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
2,under_26
2,26_and_over
3,under_26
2,under_26
3,26_and_over
2,26_and_over
3,under_26
2,26_and_over
4,under_26
3,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
2,26_and_over
2,under_26
3,26_and_over
3,26_and_over
3,26_and_over
2,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
2,26_and_over
2,under_26
3,under_26
1,26_and_over
3,under_26
2,26_and_over
2,under_26
2,under_26
3,26_and_over
4,under_26
3,26_and_over
3,26_and_over
3,26_and_over
2,under_26
3,under_26
3,26_and_over
2,26_and_over
2,26_and_over
3,26_and_over
4,26_and_over
3,26_and_over
2,26_and_over
2,26_and_over
2,under_26
3,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
2,26_and_over
3,26_and_over
2,under_26
2,under_26
3,26_and_over
4,26_and_over
2,under_26
3,26_and_over
3,26_and_over
2,under_26
3,26_and_over
3,26_and_over
3,26_and_over
2,under_26
3,under_26
2,26_and_over
2,26_and_over
2,26_and_over
4,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
2,26_and_over
3,26_and_over
2,26_and_over
2,26_and_over
3,26_and_over
2,26_and_over
3,26_and_over
2,26_and_over
2,under_26
3,26_and_over
2,26_and_over
2,under_26
3,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
3,under_26
3,26_and_over
2,under_26
3,26_and_over
3,26_and_over
2,26_and_over
2,26_and_over
3,26_and_over
3,26_and_over
3,under_26
3,26_and_over
3,under_26
3,26_and_over
3,26_and_over
3,26_and_over
4,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
1,under_26
2,under_26
4,26_and_over
4,26_and_over
2,26_and_over
2,under_26
3,26_and_over
2,26_and_over
2,26_and_over
4,26_and_over
3,26_and_over
2,26_and_over
3,26_and_over
2,26_and_over
3,26_and_over
4,26_and_over
2,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
2,under_26
3,26_and_over
3,under_26
3,26_and_over
2,26_and_over
3,26_and_over
1,26_and_over
2,under_26
3,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
2,under_26
2,under_26
3,26_and_over
2,under_26
2,26_and_over
3,26_and_over
3,26_and_over
2,26_and_over
3,26_and_over
4,under_26
3,26_and_over
2,26_and_over
2,26_and_over
2,26_and_over
2,26_and_over
3,26_and_over
3,26_and_over
2,26_and_over
4,26_and_over
4,26_and_over
2,under_26
3,26_and_over
3,26_and_over
1,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
2,26_and_over
4,under_26
2,under_26
2,under_26
3,26_and_over
2,26_and_over
3,under_26
3,26_and_over
3,26_and_over
3,26_and_over
2,26_and_over
2,26_and_over
3,26_and_over
2,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
2,26_and_over
4,under_26
2,26_and_over
3,26_and_over
3,26_and_over
3,under_26
2,26_and_over
3,26_and_over
3,26_and_over
4,under_26
2,26_and_over
2,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
3,under_26
3,26_and_over
2,26_and_over
3,26_and_over
3,26_and_over
4,26_and_over
3,26_and_over
2,26_and_over
4,26_and_over
3,26_and_over
4,26_and_over
2,26_and_over
2,26_and_over
3,26_and_over
2,26_and_over
3,26_and_over
3,26_and_over
1,26_and_over
4,under_26
3,26_and_over
3,26_and_over
3,26_and_over
1,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
2,26_and_over
4,26_and_over
2,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
1,26_and_over
2,26_and_over
3,26_and_over
2,under_26
4,under_26
2,26_and_over
3,26_and_over
4,26_and_over
2,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
4,under_26
3,26_and_over
3,under_26
2,26_and_over
2,26_and_over
4,26_and_over
2,26_and_over
3,26_and_over
3,26_and_over
3,under_26
2,26_and_over
3,26_and_over
4,26_and_over
3,26_and_over
3,under_26
3,26_and_over
2,26_and_over
2,26_and_over
3,26_and_over
3,26_and_over
1,26_and_over
2,26_and_over
2,under_26
3,26_and_over
3,under_26
3,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
2,26_and_over
2,26_and_over
3,26_and_over
3,26_and_over
2,under_26
2,26_and_over
3,under_26
4,26_and_over
3,26_and_over
2,26_and_over
2,26_and_over
1,26_and_over
2,under_26
3,under_26
3,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
2,26_and_over
3,under_26
3,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
2,under_26
3,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
1,26_and_over
3,26_and_over
1,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
2,26_and_over
3,26_and_over
2,26_and_over
2,26_and_over
3,26_and_over
2,26_and_over
3,26_and_over
3,under_26
4,26_and_over
4,26_and_over
2,26_and_over
2,26_and_over
2,under_26
4,26_and_over
3,26_and_over
2,26_and_over
2,26_and_over
3,26_and_over
1,26_and_over
3,26_and_over
1,26_and_over
2,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
2,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
2,26_and_over
3,26_and_over
3,under_26
3,26_and_over
3,26_and_over
4,26_and_over
3,26_and_over
3,26_and_over
4,under_26
3,26_and_over
3,26_and_over
3,26_and_over
2,26_and_over
3,26_and_over
3,26_and_over
2,under_26
3,26_and_over
3,26_and_over
3,26_and_over
4,26_and_over
2,26_and_over
3,under_26
3,under_26
3,26_and_over
2,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
2,under_26
3,26_and_over
3,under_26
3,26_and_over
3,26_and_over
4,26_and_over
3,26_and_over
3,26_and_over
2,26_and_over
2,under_26
3,26_and_over
3,26_and_over
2,26_and_over
2,26_and_over
3,26_and_over
2,under_26
3,26_and_over
3,26_and_over
2,under_26
3,26_and_over
2,under_26
2,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
2,26_and_over
3,26_and_over
3,26_and_over
3,under_26
2,under_26
3,26_and_over
3,26_and_over
2,26_and_over
2,26_and_over
2,under_26
3,26_and_over
2,26_and_over
2,26_and_over
3,26_and_over
2,under_26
2,under_26
3,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
2,26_and_over
2,26_and_over
2,26_and_over
3,26_and_over
3,under_26
2,26_and_over
3,26_and_over
4,26_and_over
4,under_26
4,26_and_over
4,under_26
3,26_and_over
3,26_and_over
2,26_and_over
3,26_and_over
2,26_and_over
3,26_and_over
3,26_and_over
2,under_26
3,26_and_over
2,26_and_over
2,26_and_over
4,26_and_over
1,26_and_over
3,26_and_over
3,26_and_over
2,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
4,26_and_over
3,26_and_over
3,26_and_over
2,under_26
3,26_and_over
3,26_and_over
3,26_and_over
2,under_26
2,26_and_over
2,26_and_over
1,26_and_over
3,26_and_over
3,26_and_over
2,26_and_over
1,26_and_over
3,26_and_over
2,under_26
4,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
2,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
2,26_and_over
1,26_and_over
2,26_and_over
4,under_26
3,under_26
2,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
4,under_26
1,26_and_over
4,26_and_over
3,under_26
3,26_and_over
2,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
2,under_26
2,under_26
2,26_and_over
3,26_and_over
4,26_and_over
3,26_and_over
2,26_and_over
3,26_and_over
2,under_26
3,26_and_over
2,26_and_over
3,26_and_over
1,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
3,26_and_over
2,26_and_over
3,under_26
2,26_and_over
4,26_and_over
3,26_and_over
3,26_and_over
2,26_and_over
3,26_and_over
3,26_and_over
2,26_and_over
2,under_26
3,26_and_over
2,under_26
2,26_and_over
3,26_and_over
3,26_and_over
4,under_26
3,under_26
1,26_and_over
2,under_26
3,26_and_over
2,26_and_over
3,26_and_over
3,under_26
1,26_and_over
3,26_and_over
3,26_and_over
4,under_26
2,under_26
