feature,special_code_count
MSinceMostRecentDelq,5428
NetFractionInstallBurden,4007
MSinceMostRecentInqexcl7days,2919
NumInstallTradesWBalance,1449
NumBank2NatlTradesWHighUtilization,1171
MSinceOldestTradeOpen,827
NetFractionRevolvingBurden,774
NumRevolvingTradesWBalance,744
PercentTradesWBalance,606
ExternalRiskEstimate,598
NumTrades90Ever2DerogPubRec,588
MSinceMostRecentTradeOpen,588
NumTrades60Ever2DerogPubRec,588
NumSatisfactoryTrades,588
AverageMInFile,588
PercentInstallTrades,588
NumTradesOpeninLast12M,588
NumTotalTrades,588
MaxDelqEver,588
PercentTradesNeverDelq,588
MaxDelq2PublicRecLast12M,588
NumInqLast6M,588
NumInqLast6Mexcl7days,588
